season,iowa_name,iowa_conf_name,iowa_points,iowa_fgm,iowa_fga,iowa_thpm,iowa_thpa,iowa_twpm,iowa_twpa,iowa_ftm,iowa_fta,opp_name,opp_conf_name,opp_points,opp_fgm,opp_fga,opp_thpm,opp_thpa,opp_twpm,opp_twpa,opp_ftm,opp_fta
2016,Hawkeyes,Big Ten,83,30,60,11,18,19,42,12,19,Scarlet Knights,Big Ten,63,25,64,4,15,21,49,9,14
2017,Hawkeyes,Big Ten,64,24,61,8,19,16,42,8,10,Scarlet Knights,Big Ten,80,29,54,7,16,22,38,15,20
2017,Hawkeyes,Big Ten,73,28,57,11,21,17,36,6,10,Terrapins,Big Ten,91,34,60,4,17,30,43,19,25
2016,Hawkeyes,Big Ten,67,25,67,4,17,21,50,13,13,Boilermakers,Big Ten,89,34,67,12,29,22,38,9,10
2017,Hawkeyes,Big Ten,64,25,65,10,24,15,41,4,9,Hoosiers,Big Ten,77,27,66,8,21,19,45,15,23
2017,Hawkeyes,Big Ten,104,32,64,7,24,25,40,33,40,Fighting Illini,Big Ten,97,36,74,14,30,22,44,11,14
2016,Hawkeyes,Big Ten,64,26,65,5,23,21,42,7,16,Fighting Illini,Big Ten,76,26,58,9,19,17,39,15,19
2016,Hawkeyes,Big Ten,90,34,77,9,29,25,48,13,17,Cornhuskers,Big Ten,93,32,70,10,23,22,47,19,35
2017,Hawkeyes,Big Ten,84,33,66,9,21,24,45,9,14,Cornhuskers,Big Ten,98,30,52,11,19,19,33,27,36
2016,Hawkeyes,Big Ten,89,30,75,9,26,21,49,20,28,Golden Gophers,Big Ten,101,36,82,8,24,28,58,21,31
2017,Hawkeyes,Big Ten,82,34,69,5,18,29,51,9,17,Golden Gophers,Big Ten,86,27,61,9,25,18,36,23,35
2017,Hawkeyes,Big Ten,58,21,55,1,10,20,45,15,22,Nittany Lions,Big Ten,82,35,64,5,15,30,49,7,10
2017,Hawkeyes,Big Ten,80,26,53,3,15,23,38,25,36,Buffaloes,Pacific 12,73,29,68,6,23,23,45,9,17
2017,Hawkeyes,Big Ten,72,28,55,8,21,20,34,8,15,Jackrabbits,Summit League,80,27,61,10,20,17,41,16,19
2014,Hawkeyes,Big Ten,63,22,55,6,21,16,34,13,20,Orange,Atlantic Coast,66,25,60,3,15,22,45,13,19
2017,Hawkeyes,Big Ten,71,27,65,7,23,20,42,10,18,Wolverines,Big Ten,77,28,62,3,19,25,43,18,32
2015,Hawkeyes,Big Ten,68,27,60,7,24,20,36,7,13,Wildcats,Big East,87,32,54,10,19,22,35,13,17
2017,Hawkeyes,Big Ten,95,30,50,8,13,22,37,27,35,Blazers,Conference USA,85,31,69,7,25,24,44,16,18
