season,iowa_name,iowa_conf_name,iowa_points,iowa_fgm,iowa_fga,iowa_thpm,iowa_thpa,iowa_twpm,iowa_twpa,iowa_ftm,iowa_fta,opp_name,opp_conf_name,opp_points,opp_fgm,opp_fga,opp_thpm,opp_thpa,opp_twpm,opp_twpa,opp_ftm,opp_fta
2017,Hawkeyes,Big Ten,95,31,52,12,22,19,30,21,35,Cougars,Western Athletic,62,23,61,6,26,17,35,10,18
2017,Hawkeyes,Big Ten,82,27,49,9,21,18,28,19,22,Hoosiers,Big Ten,84,32,57,14,24,18,33,6,9
2016,Hawkeyes,Big Ten,92,34,63,16,30,18,33,8,19,Horned Frogs,Big 12,94,36,71,10,24,26,47,12,18
2016,Hawkeyes,Big Ten,90,31,65,12,21,19,44,16,19,Nittany Lions,Big Ten,79,31,70,8,28,23,42,9,12
2017,Hawkeyes,Big Ten,77,25,59,10,29,15,30,17,23,Wildcats,Big Ten,70,27,58,13,25,14,33,3,7
2016,Hawkeyes,Big Ten,83,28,61,8,21,20,40,19,32,Pirates,Big East,91,33,65,8,17,25,48,17,31
2016,Hawkeyes,Big Ten,76,25,70,7,28,18,42,19,25,Terrapins,Big Ten,84,30,53,11,23,19,30,13,18
2016,Hawkeyes,Big Ten,95,36,73,6,23,30,50,17,28,Hatters,Atlantic Sun,68,25,72,8,33,17,39,10,16
2016,Hawkeyes,Big Ten,85,32,64,10,23,22,41,11,20,Buckeyes,Big Ten,72,27,63,7,22,20,41,11,17
2016,Hawkeyes,Big Ten,95,32,63,11,29,21,34,20,30,Vaqueros,Western Athletic,67,23,67,9,27,14,40,12,14
2016,Hawkeyes,Big Ten,73,29,65,9,26,20,39,6,10,Hoosiers,Big Ten,95,35,58,12,20,23,38,13,19
2017,Hawkeyes,Big Ten,90,37,67,6,18,31,49,10,15,Bulldogs,Missouri Valley,64,24,55,9,26,15,29,7,9
2016,Hawkeyes,Big Ten,69,28,58,6,20,22,38,7,9,Panthers,Missouri Valley,46,15,56,6,26,9,30,10,14
2016,Hawkeyes,Big Ten,41,15,48,6,23,9,25,5,10,Cavaliers,Atlantic Coast,74,29,60,8,17,21,43,8,13
2014,Hawkeyes,Big Ten,57,16,54,4,14,12,40,21,28,Longhorns,Big 12,71,27,59,6,17,21,42,11,16
2017,Hawkeyes,Big Ten,96,27,48,8,14,19,34,34,41,Fighting Illini,Big Ten,87,32,66,14,30,18,36,9,12
2015,Hawkeyes,Big Ten,72,24,69,7,28,17,41,17,22,Owls,American Athletic,70,30,66,4,18,26,48,6,9
2014,Hawkeyes,Big Ten,77,31,71,9,30,22,41,6,9,Lancers,Big South,44,15,48,4,10,11,38,10,14
2013,Hawkeyes,Big Ten,103,38,61,9,21,29,40,18,22,Wildcats,Southland,41,14,54,3,23,11,31,10,12
2014,Hawkeyes,Big Ten,77,29,65,7,25,22,40,12,15,Retrievers,America East,47,19,57,4,19,15,38,5,10
2017,Hawkeyes,Big Ten,85,25,46,8,20,17,26,27,36,Tigers,Southwestern Athletic,74,29,68,10,24,19,44,6,6
2017,Hawkeyes,Big Ten,98,36,62,12,26,24,36,14,21,Huskies,Mid-American,82,30,69,8,22,22,47,7,10
2017,Hawkeyes,Big Ten,71,22,60,6,19,16,41,21,26,Ragin' Cajuns,Sun Belt,80,30,61,5,21,25,40,15,22
2016,Hawkeyes,Big Ten,92,30,55,11,23,19,32,21,24,Tigers,American Athletic,100,40,72,7,18,33,54,13,20
